?????style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,402,116580,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
35,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
36,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
37,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
38,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
39,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
40,1,220,220,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
41,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
42,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
43,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
44,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
45,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
46,1,220,240,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
47,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
48,1,220,240,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
49,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
50,1,220,220,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
51,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
52,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
53,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
54,1,220,240,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
55,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
56,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
57,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
58,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
59,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
60,1,220,220,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
61,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
62,1,220,240,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
63,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
64,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
65,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
66,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
67,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
68,1,220,240,128,28,101,174,12,25,118,58,114,152,122,90,186,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
69,1,220,240,128,3,96,161,12,40,118,43,103,152,122,89,186,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
70,1,220,220,128,28,101,174,12,25,118,58,114,152,122,90,186,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
71,1,220,240,128,3,96,161,12,40,118,43,103,152,122,89,186,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
72,1,220,240,128,28,101,173,2,35,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
73,1,220,240,128,3,96,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
74,1,220,240,128,28,101,173,2,35,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
75,1,220,240,128,3,96,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
76,1,220,240,128,28,101,174,12,25,118,58,114,152,122,90,186,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
77,1,220,240,128,3,96,161,12,40,118,43,103,152,122,89,186,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
78,1,220,240,128,28,101,173,2,35,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
79,1,220,240,128,3,96,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
80,1,220,220,128,28,101,173,2,35,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
81,1,220,240,128,3,96,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
82,1,220,240,82,129,216,95,158,145,118,60,114,154,120,90,184,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
83,1,220,240,54,133,216,110,150,129,118,45,103,154,120,89,184,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
84,1,220,240,85,127,199,90,133,140,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
85,1,220,240,73,138,214,110,126,140,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
86,1,220,240,82,129,216,95,158,145,118,60,114,154,120,90,184,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
87,1,220,240,54,133,216,110,150,129,118,45,103,154,120,89,184,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
88,1,220,240,82,129,216,95,158,145,118,60,114,154,120,90,184,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
89,1,220,240,54,133,216,110,150,129,118,45,103,154,120,89,184,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
90,1,220,220,82,129,216,95,158,145,118,60,114,154,120,90,184,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
91,1,220,240,54,133,216,110,150,129,118,45,103,154,120,89,184,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
92,1,220,240,85,127,199,90,133,140,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
93,1,220,240,73,138,214,110,126,140,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
94,1,220,240,85,127,199,90,133,140,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
95,1,220,240,73,138,214,110,126,140,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
96,1,220,240,128,28,101,174,12,25,118,58,114,152,122,90,186,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
97,1,220,240,128,3,96,161,12,40,118,43,103,152,122,89,186,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
98,1,220,240,128,28,101,174,12,25,118,58,114,152,122,90,186,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
99,1,220,240,128,3,96,161,12,40,118,43,103,152,122,89,186,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
100,1,220,220,128,28,101,173,2,35,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
101,1,220,240,128,3,96,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
102,1,220,240,128,28,101,173,2,35,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
